id,name,country_id:id,code
base.state_bd_bagerhat,Bagerhat,base.bd,Bagerhat
base.state_bd_bandarban,Bandarban,base.bd,Bandarban
base.state_bd_barguna,Barguna,base.bd,Barguna
base.state_bd_barisal,Barishal,base.bd,Barishal
base.state_bd_bhola,Bhola,base.bd,Bhola
base.state_bd_bogra,Bogra,base.bd,Bogra
base.state_bd_brahmanbaria,Brahmanbaria,base.bd,Brahmanbaria
base.state_bd_chandpur,Chandpur,base.bd,Chandpur
base.state_bd_nawabganj,Chapainawabganj,base.bd,Chapainawabganj
base.state_bd_chittagong,Chattogram,base.bd,Chattogram
base.state_bd_chuadanga,Chuadanga,base.bd,Chuadanga
base.state_bd_comilla,Cumilla,base.bd,Comilla
base.state_bd_coxs_bazar,Cox's Bazar,base.bd,Cox's Bazar
base.state_bd_dhaka,Dhaka,base.bd,Dhaka
base.state_bd_dinajpur,Dinajpur,base.bd,Dinajpur
base.state_bd_faridpur,Faridpur,base.bd,Faridpur
base.state_bd_feni,Feni,base.bd,Feni
base.state_bd_gaibandha,Gaibandha,base.bd,Gaibandha
base.state_bd_gazipur,Gazipur,base.bd,Gazipur
base.state_bd_gopalganj,Gopalganj,base.bd,Gopalganj
base.state_bd_habiganj,Habiganj,base.bd,Habiganj
base.state_bd_jaipurhat,Jaipurhat,base.bd,Jaipurhat
base.state_bd_jamalpur,Jamalpur,base.bd,Jamalpur
base.state_bd_jessore,Jashore,base.bd,Jashore
base.state_bd_jhalakati,Jhalakati,base.bd,Jhalakati
base.state_bd_jhenaidah,Jhenaidah,base.bd,Jhenaidah
base.state_bd_khagrachari,Khagrachari,base.bd,Khagrachari
base.state_bd_khulna,Khulna,base.bd,Khulna
base.state_bd_kishoreganj,Kishoreganj,base.bd,Kishoreganj
base.state_bd_kurigram,Kurigram,base.bd,Kurigram
base.state_bd_kushtia,Kushtia,base.bd,Kushtia
base.state_bd_lakshmipur,Lakshmipur,base.bd,Lakshmipur
base.state_bd_lalmonirhat,Lalmonirhat,base.bd,Lalmonirhat
base.state_bd_madaripur,Madaripur,base.bd,Madaripur
base.state_bd_magura,Magura,base.bd,Magura
base.state_bd_manikganj,Manikganj,base.bd,Manikganj
base.state_bd_meherpur,Meherpur,base.bd,Meherpur
base.state_bd_moulvibazar,Moulvibazar,base.bd,Moulvibazar
base.state_bd_munshiganj,Munshiganj,base.bd,Munshiganj
base.state_bd_mymensingh,Mymensingh,base.bd,Mymensingh
base.state_bd_naogaon,Naogaon,base.bd,Naogaon
base.state_bd_narail,Narail,base.bd,Narail
base.state_bd_narayanganj,Narayanganj,base.bd,Narayanganj
base.state_bd_narsingdi,Narsingdi,base.bd,Narsingdi
base.state_bd_natore,Natore,base.bd,Natore
base.state_bd_netrakona,Netrakona,base.bd,Netrakona
base.state_bd_nilphamari,Nilphamari,base.bd,Nilphamari
base.state_bd_noakhali,Noakhali,base.bd,Noakhali
base.state_bd_pabna,Pabna,base.bd,Pabna
base.state_bd_panchagarh,Panchagarh,base.bd,Panchagarh
base.state_bd_patuakhali,Patuakhali,base.bd,Patuakhali
base.state_bd_pirojpur,Pirojpur,base.bd,Pirojpur
base.state_bd_rajbari,Rajbari,base.bd,Rajbari
base.state_bd_rajshahi,Rajshahi,base.bd,Rajshahi
base.state_bd_rangamati,Rangamati,base.bd,Rangamati
base.state_bd_rangpur,Rangpur,base.bd,Rangpur
base.state_bd_satkhira,Satkhira,base.bd,Satkhira
base.state_bd_shariatpur,Shariatpur,base.bd,Shariatpur
base.state_bd_sherpur,Sherpur,base.bd,Sherpur
base.state_bd_sirajganj,Sirajganj,base.bd,Sirajganj
base.state_bd_sunamganj,Sunamganj,base.bd,Sunamganj
base.state_bd_sylhet,Sylhet,base.bd,Sylhet
base.state_bd_tangail,Tangail,base.bd,Tangail
base.state_bd_thakurgaon,Thakurgaon,base.bd,Thakurgaon

